"id","title","description","imageUrl","artist","year","category","tags","userId","galleryId","exhibitionId","createdAt"
"cmpp799rc0000tcb8bjoaik3t","The Starry Night","Jedno od najpoznatijih djela postimpresionizma, prepoznatljivo po vrtložnom nebu i intenzivnim plavim tonovima. Van Gogh je sliku naslikao tokom boravka u psihijatrijskoj ustanovi, a dinamični potezi četkicom stvaraju osjećaj pokreta i emocije.","https://upload.wikimedia.org/wikipedia/commons/a/aa/Van_Gogh_-_Starry_Night_2.jpg","Vincent van Gogh",1889,"Post-Impressionism","{night,emotional,swirling,expressionism,dreamy,sky}","cmpp4juls0000tczst2one5io",NULL,NULL,"2026-05-28 07:56:52.775"
"cmpp799rf0001tcb81fre546c","The Persistence of Memory","Nadrealističko remek-djelo poznato po „otopljenim satovima“ koji simbolizuju relativnost vremena. Dalí koristi snovite i neobične prizore kako bi prikazao granicu između stvarnosti i podsvijesti.","https://upload.wikimedia.org/wikipedia/en/d/dd/The_Persistence_of_Memory.jpg","Salvador Dalí",1931,"Surrealism","{surreal,dreamlike,melting,time,bizarre,desert,""""}","cmpp4juls0000tczst2one5io",NULL,NULL,"2026-05-28 07:56:52.775"
"cmpp799rf0002tcb8bloxerv0","Girl with a Pearl Earring","Često nazivana „holandskom Mona Lizom“, ova slika privlači pažnju misterioznim pogledom djevojke i savršenim prikazom svjetlosti. Biserna minđuša postaje centralni detalj koji portret čini elegantnim i bezvremenskim.","https://upload.wikimedia.org/wikipedia/commons/0/0f/1665_Girl_with_a_Pearl_Earring.jpg","Johannes Vermeer",1665,"Baroque","{portrait,soft-light,mysterious,calm,baroque,intimate}","cmpp4juls0000tczst2one5io",NULL,NULL,"2026-05-28 07:56:52.775"
"cmpp799rg0003tcb89py8ck48","The Scream","Simbol ljudske anksioznosti i unutrašnjeg nemira, ovo ekspresionističko djelo prikazuje figuru koja vrišti pod dramatičnim nebom. Munch je kroz snažne boje i deformisane oblike prikazao osjećaj egzistencijalnog straha.","https://upload.wikimedia.org/wikipedia/commons/c/c5/Edvard_Munch%2C_1893%2C_The_Scream%2C_oil%2C_tempera_and_pastel_on_cardboard%2C_91_x_73_cm%2C_National_Gallery_of_Norway.jpg","Edvard Munch",1893,"Expressionism","{anxiety,fear,emotional,expressionism,distorted,chaos}","cmpp4juls0000tczst2one5io",NULL,NULL,"2026-05-28 07:56:52.775"
"cmpp799rg0004tcb86nltfj4j","The Birth of Venus","Jedno od najpoznatijih djela italijanske renesanse koje prikazuje boginju Veneru kako izlazi iz mora. Slika simbolizuje ljepotu, ljubav i idealizovanu harmoniju ljudskog tijela.","https://upload.wikimedia.org/wikipedia/commons/7/7d/Botticelli_Venus.jpg","Sandro Botticelli",1485,"Renaissance","{mythology,beauty,renaissance,soft,romantic,divine}","cmpp4juls0000tczst2one5io",NULL,NULL,"2026-05-28 07:56:52.775"
"cmpp799rh0005tcb8v76pw60m","Guernica","Moćna antiratna slika inspirisana bombardovanjem španskog grada Gernike tokom građanskog rata. Picasso koristi crno-bijelu paletu i apstraktne oblike kako bi prikazao haos, bol i stradanje civila.","https://upload.wikimedia.org/wikipedia/en/7/74/PicassoGuernica.jpg","Pablo Picasso",1937,"Modernism","{war,pain,chaos,political,black-white,tragic}","cmpp4juls0000tczst2one5io",NULL,NULL,"2026-05-28 07:56:52.775"
"cmpp799rj0006tcb8yixgdwql","American Gothic","Poznata američka slika koja prikazuje farmera i njegovu ćerku ispred kuće u ruralnom stilu. Djelo je postalo simbol tradicionalnog američkog života i često se koristi u popularnoj kulturi.","https://upload.wikimedia.org/wikipedia/commons/c/cc/Grant_Wood_-_American_Gothic_-_Google_Art_Project.jpg","Grant Wood",1930,"Realism","{portrait,serious,rural,minimal,symbolic,realism}","cmpp4juls0000tczst2one5io",NULL,NULL,"2026-05-28 07:56:52.775"
"cmpp799rj0007tcb8xwls2620","The Kiss","Romantično djelo iz zlatnog perioda Gustava Klimta, poznato po bogatim zlatnim detaljima i dekorativnim šarama. Slika prikazuje intiman trenutak ljubavi i povezanosti dvoje ljudi.","https://upload.wikimedia.org/wikipedia/commons/4/40/The_Kiss_-_Gustav_Klimt_-_Google_Cultural_Institute.jpg","Gustav Klimt",1908,"Symbolism","{love,romantic,gold,intimate,decorative,symbolism}","cmpp4juls0000tczst2one5io",NULL,NULL,"2026-05-28 07:56:52.775"
"cmpp799rk0008tcb8acudbseb","Las Meninas","Kompleksna kompozicija koja prikazuje špansku kraljevsku porodicu i samog umjetnika tokom slikanja. Djelo je poznato po inovativnoj perspektivi i igri između posmatrača i likova na slici.","https://upload.wikimedia.org/wikipedia/commons/9/9a/Diego_Vel%C3%A1zquez_Las_Meninas_Die_Hoffr%C3%A4ulein.jpg","Diego Velázquez",1656,"Baroque","{royal,complex,baroque,illusion,portrait,historical}","cmpp4juls0000tczst2one5io",NULL,NULL,"2026-05-28 07:56:52.775"
"cmpp799rk0009tcb8rsxn4knj","The Creation of Adam","Jedna od najpoznatijih fresaka na plafonu Sikstinske kapele, koja prikazuje trenutak kada Bog daje život Adamu. Ikonični dodir prstiju simbolizuje vezu između božanskog i ljudskog.","https://upload.wikimedia.org/wikipedia/commons/0/0c/Creation_of_Adam_Michelangelo.jpg","Michelangelo",1512,"Renaissance","{religious,divine,renaissance,symbolic,spiritual,iconic}","cmpp4juls0000tczst2one5io",NULL,NULL,"2026-05-28 07:56:52.775"
"cmpp799rk000atcb8j7c68k6z","The Night Watch","Monumentalno barokno djelo koje prikazuje gradsku miliciju u pokretu. Rembrandt koristi dramatično svjetlo i sjenku kako bi naglasio dinamiku i dubinu scene.","https://upload.wikimedia.org/wikipedia/commons/9/94/The_Nightwatch_by_Rembrandt_-_Rijksmuseum.jpg","Rembrandt",1642,"Baroque","{dramatic-light,group-portrait,baroque,military,dynamic}","cmpp4juls0000tczst2one5io",NULL,NULL,"2026-05-28 07:56:52.775"
"cmpp799rl000btcb8woooytat","The Great Wave off Kanagawa","Ikonična japanska grafika koja prikazuje ogromni talas koji prijeti čamcima u moru. Djelo simbolizuje snagu prirode i prolaznost čovjeka.","https://upload.wikimedia.org/wikipedia/commons/0/0a/The_Great_Wave_off_Kanagawa.jpg","Hokusai",1831,"Japanese Art","{nature,ocean,powerful,movement,ukiyo-e,dramatic}","cmpp4juls0000tczst2one5io",NULL,NULL,"2026-05-28 07:56:52.775"
"cmpp799rl000ctcb89j1w4xno","The Milkmaid","Intimna scena svakodnevnog života koja prikazuje sluškinju kako sipa mlijeko. Vermeer majstorski koristi svjetlo i tišinu trenutka da stvori osjećaj realnosti i mira.","https://upload.wikimedia.org/wikipedia/commons/2/20/Johannes_Vermeer_-_Het_melkmeisje_-_Google_Art_Project.jpg","Johannes Vermeer",1658,"Baroque","{calm,domestic,light,everyday-life,baroque,soft}","cmpp4juls0000tczst2one5io",NULL,NULL,"2026-05-28 07:56:52.775"
"cmpp799rl000dtcb8yse1dxzc","Liberty Leading the People","Revolucionarna slika koja simbolizuje borbu za slobodu. Ženska figura (Marianne) predvodi narod preko barikada, što djelo čini simbolom revolucije i otpora.","https://upload.wikimedia.org/wikipedia/commons/a/a7/Eug%C3%A8ne_Delacroix_-_La_libert%C3%A9_guidant_le_peuple.jpg","Eugène Delacroix",1830,"Romanticism","{revolution,freedom,heroic,dramatic,romanticism,battle}","cmpp4juls0000tczst2one5io",NULL,NULL,"2026-05-28 07:56:52.775"
"cmpp799rl000etcb82iwxvvlm","The Lady with an Ermine","Elegantni renesansni portret mlade žene koja u naručju drži hermelina. Leonardo koristi nježne prelaze svjetlosti i sjene kako bi stvorio osjećaj realizma, dok pogled modela i pokret figure djeluju gotovo živo.","https://upload.wikimedia.org/wikipedia/commons/b/bf/Lady_with_an_Ermine_-_Leonardo_da_Vinci_%28adjusted_levels%29.jpg","Leonardo da Vinci",1489,"Renaissance","{portrait,elegant,calm,renaissance,luxury,mysterious}","cmpp4juls0000tczst2one5io",NULL,NULL,"2026-05-28 07:56:52.775"
"cmpp799rm000ftcb8tgdg4653","Ophelia","Poznato prerafaelitsko djelo inspirisano Shakespeareovim „Hamletom“, koje prikazuje Ofeliju kako pluta rijekom neposredno prije smrti. Millais je posvetio veliku pažnju detaljima prirode, cvijeća i svjetlosti, stvarajući istovremeno osjećaj ljepote i tragedije.","https://upload.wikimedia.org/wikipedia/commons/9/94/John_Everett_Millais_-_Ophelia_-_Google_Art_Project.jpg","John Everett Millais",1851,"Romanticism","{death,nature,melancholy,poetic,water,tragic}","cmpp4juls0000tczst2one5io",NULL,NULL,"2026-05-28 07:56:52.775"
"cmpp799rm000gtcb8cu1w1xw8","The Garden of Earthly Delights","Jedno od najneobičnijih i najmističnijih djela renesanse, prepuno fantastičnih bića, simbola i nadrealnih scena. Bosch kroz tri panela prikazuje raj, zemaljske užitke i pakao, ostavljajući prostor za brojna tumačenja.","https://upload.wikimedia.org/wikipedia/commons/3/38/Jheronimus_Bosch_023.jpg","Hieronymus Bosch",1510,"Renaissance","{surreal,fantasy,complex,symbolic,sin,chaotic}","cmpp4juls0000tczst2one5io",NULL,NULL,"2026-05-28 07:56:52.775"
